AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
0,1,13,640,5
1,3,27,1065,5
1,3,23,1066,329
0,2,14,640,104
1,3,24,450,130
1,4,31,847,165
1,4,25,1066,250
0,4,25,640,139
1,4,23,469,38
1,4,24,450,36
1,4,23,1065,89
0,3,24,1251,186
1,4,24,1313,88
0,1,24,640,86
0,5,14,640,296
1,4,11,958,307
0,3,13,640,220
0,3,21,637,167
0,4,24,637,111
0,4,13,637,139
1,3,17,847,358
0,4,13,640,104
1,4,23,559,274
1,1,17,559,130
0,4,23,640,38
0,2,9,640,139
0,3,24,640,104
1,4,22,234,86
1,3,14,1170,307
1,4,24,548,88
1,3,24,1066,226
1,3,24,1066,130
0,4,15,631,139
1,1,15,585,226
0,1,16,640,291
0,3,13,640,16
1,3,29,450,130
0,3,26,640,38
0,1,9,640,304
1,3,17,249,38
1,1,16,847,38
1,4,30,923,318
0,3,13,640,5
0,4,11,640,68
1,4,16,847,318
0,2,11,640,104
0,2,15,640,63
1,4,23,450,353
1,3,24,896,25
0,4,33,640,296
1,3,13,597,307
0,3,13,640,320
0,1,13,640,104
1,4,11,1111,26
1,4,29,481,353
0,2,4,640,168
1,3,26,1254,342
1,4,24,74,289
1,4,23,1116,320
1,3,24,1066,98
0,1,10,637,104
0,1,23,640,38
1,4,24,1373,286
0,2,21,640,216
1,4,26,696,318
0,4,15,640,111
1,4,28,424,353
1,4,20,962,38
1,4,25,830,226
0,4,19,640,291
1,4,21,1166,232
0,3,23,640,339
1,3,23,407,48
1,3,23,847,38
1,3,14,847,358
1,2,28,450,163
0,5,23,632,5
1,3,24,45,289
1,4,27,549,289
0,3,34,632,220
1,4,24,696,252
1,3,28,847,38
0,3,14,640,5
1,4,19,617,307
0,3,23,640,5
0,1,37,640,5
1,1,9,1116,165
1,3,16,595,329
1,3,24,975,38
1,4,24,1346,98
1,2,24,125,103
1,4,24,847,289
0,1,9,640,139
1,4,23,1066,113
0,2,24,640,111
0,2,10,640,104
1,3,26,450,329
0,2,9,640,104
0,2,13,640,5
1,4,23,1170,320
1,4,13,665,130
1,4,23,995,38
1,4,25,365,131
1,3,31,890,5
0,4,24,640,320
1,4,27,754,38
1,2,24,450,38
1,3,24,435,88
1,3,29,695,114
0,1,23,640,111
0,4,28,640,38
0,3,13,640,220
1,4,23,450,276
0,3,13,640,220
1,4,28,1105,89
0,2,13,640,111
1,4,24,450,114
0,3,29,1251,186
0,4,14,640,111
1,3,25,504,226
0,1,24,640,5
1,4,29,664,210
0,2,11,640,327
1,4,24,1066,130
1,1,16,307,38
1,3,26,163,38
1,3,24,847,131
1,4,29,4,307
1,3,23,869,88
0,3,11,640,220
1,3,11,180,25
0,3,13,945,320
0,1,25,640,41
1,4,26,481,289
1,4,23,1066,38
1,4,24,681,38
1,4,32,517,131
0,3,13,640,104
1,4,32,450,274
0,4,24,632,111
1,4,29,1170,320
1,3,23,285,276
1,3,27,1066,98
1,4,28,450,31
0,5,7,640,104
1,4,29,1066,289
1,3,23,438,5
1,3,23,823,329
0,1,8,640,216
0,1,23,640,216
1,3,27,695,25
1,4,24,1197,36
1,3,21,1255,338
0,1,14,640,5
1,3,20,389,185
0,1,11,640,38
0,5,0,640,41
0,4,27,640,139
1,4,19,450,165
1,2,23,365,166
0,4,13,640,216
0,3,14,639,38
1,2,36,450,165
1,3,29,847,150
1,3,24,1235,204
1,4,17,1105,89
1,3,22,125,289
1,3,25,450,289
0,1,13,632,38
1,3,23,862,38
0,1,10,1251,59
1,3,26,450,329
0,3,30,637,216
0,4,14,640,139
1,4,13,74,130
0,4,15,640,296
1,2,24,880,276
1,3,28,559,88
1,4,22,307,98
1,4,23,847,289
1,3,26,1245,4
0,3,13,637,86
1,3,24,1066,226
1,4,13,74,228
0,3,17,640,5
0,3,30,640,38
0,3,25,640,104
1,3,24,450,130
1,2,13,74,329
0,1,9,640,296
0,4,13,640,104
1,3,26,696,88
0,3,27,640,111
1,4,24,1116,165
0,1,17,637,139
1,4,24,962,31
1,4,32,539,252
0,2,17,640,38
0,1,13,640,139
1,3,17,518,252
1,3,30,450,307
1,3,17,847,131
0,2,14,1251,260
1,4,23,1203,36
1,4,23,450,114
1,3,13,307,307
0,5,8,640,63
1,4,24,450,274
0,4,13,640,220
0,3,20,640,332
1,4,26,1170,38
1,3,15,727,250
0,2,3,640,318
1,2,28,547,58
1,4,13,268,38
0,1,19,640,63
0,2,11,640,38
0,1,15,640,5
0,1,13,640,291
1,1,24,1066,178
1,3,15,543,307
0,2,23,640,104
0,4,14,1251,214
0,2,13,640,38
0,4,15,640,220
1,3,27,1113,89
1,4,24,1066,185
0,1,8,640,104
0,4,13,640,5
1,4,21,450,289
1,3,24,1130,38
1,4,21,68,318
0,2,10,640,41
1,3,23,60,179
0,4,18,640,111
1,4,24,1066,130
1,4,29,754,38
0,3,13,640,104
0,3,34,640,38
1,1,25,74,307
0,4,14,640,38
1,4,24,497,238
1,1,34,847,358
1,4,23,681,5
1,3,25,847,358
0,4,11,640,139
1,5,6,847,318
1,4,20,1170,307
0,4,13,632,38
1,3,24,13,289
1,3,29,27,318
1,3,15,847,41
0,3,32,640,216
1,4,27,450,274
1,4,24,1130,165
1,3,27,450,289
0,3,16,1251,186
0,3,23,640,38
1,2,23,846,136
0,3,15,637,5
1,4,24,481,353
1,2,25,1197,36
0,2,10,639,41
0,5,9,640,38
0,1,9,640,296
1,4,24,846,5
1,3,23,307,130
0,2,8,640,63
1,3,24,811,353
1,2,20,1087,250
1,3,25,869,88
0,1,11,640,296
1,3,24,209,307
0,3,24,640,104
1,3,15,1105,96
1,2,25,648,89
1,3,23,1066,130
0,2,11,637,111
1,4,23,450,329
1,3,13,847,36
1,4,31,449,88
1,3,24,1066,88
1,4,17,1116,324
1,3,14,442,307
1,3,11,861,165
1,1,23,1365,36
1,4,24,1066,86
1,4,25,847,38
0,2,13,1251,205
1,4,24,55,86
1,3,24,582,98
1,3,13,561,114
0,4,34,632,296
0,3,24,640,41
1,1,19,847,5
0,1,32,640,111
0,3,13,637,216
1,3,14,450,137
1,3,23,241,86
0,1,24,640,296
0,3,13,640,63
0,4,14,1251,205
1,4,29,962,318
1,4,24,559,88
1,1,15,307,98
0,4,13,640,104
0,3,14,640,347
0,4,24,674,347
0,4,17,640,38
0,1,4,640,291
0,4,14,640,104
0,4,16,1251,297
0,3,13,640,220
0,1,11,640,111
1,4,23,1066,38
1,2,11,74,114
1,4,25,450,36
1,3,25,868,5
1,2,28,155,307
1,2,19,1066,324
0,3,15,640,111
1,3,25,518,358
1,2,10,450,307
0,4,13,640,291
1,2,13,74,137
1,2,23,585,5
1,3,27,518,5
1,4,29,238,307
0,4,13,632,41
1,3,25,1066,38
0,1,11,640,291
1,3,28,962,131
1,1,13,847,165
1,3,24,1066,329
0,5,8,640,220
0,1,23,640,38
1,4,24,227,36
0,3,13,640,5
0,3,13,640,216
0,3,30,1251,211
1,5,7,847,318
1,3,34,450,318
1,4,23,1066,165
1,4,33,1006,166
0,1,8,640,68
1,3,24,249,38
1,3,24,696,36
1,3,24,450,5
1,3,25,450,88
0,5,5,640,5
0,2,9,640,332
1,4,21,811,307
0,4,29,640,104
1,3,29,1066,250
1,2,25,1254,38
1,4,24,1217,5
0,3,24,637,63
1,4,23,847,226
0,4,16,640,139
0,5,19,640,5
0,2,14,632,104
1,3,23,450,274
0,4,15,637,306
0,2,23,640,167
1,3,23,1066,289
0,3,13,640,5
1,4,19,847,5
0,1,23,640,139
1,3,27,438,166
1,1,10,450,318
1,4,25,847,358
1,4,25,1066,38
1,4,13,249,307
1,2,14,1066,329
1,1,32,1365,37
1,3,27,27,274
0,2,10,640,104
1,3,29,306,130
1,4,23,961,2
0,2,14,640,216
0,3,26,640,38
1,1,25,811,329
1,3,11,450,114
0,1,8,640,104
0,5,8,640,104
0,5,6,640,104
1,4,23,696,276
0,1,10,640,139
0,4,30,1207,41
0,1,11,640,306
1,3,32,616,36
0,3,15,615,166
1,3,25,1324,307
1,2,24,101,5
1,4,30,74,252
1,4,25,1372,342
1,3,20,1193,248
0,3,14,640,220
1,5,31,90,278
1,3,23,891,89
0,4,15,640,216
0,2,26,640,216
1,4,24,450,353
1,2,8,1066,130
0,3,13,640,167
0,3,32,637,220
0,1,13,640,5
1,3,25,450,354
0,3,28,640,339
1,4,29,713,114
0,4,13,640,139
0,3,15,640,104
1,3,27,847,88
1,3,28,450,38
0,3,30,637,38
1,3,24,859,289
0,3,13,1271,211
1,4,15,496,226
0,5,23,640,38
1,3,13,585,5
0,3,27,640,111
0,4,13,640,38
0,3,25,640,320
1,3,25,383,307
1,4,25,450,274
0,1,11,640,104
1,4,13,450,5
0,4,24,640,318
0,3,26,640,86
0,2,9,1271,260
1,3,29,786,129
0,1,13,632,296
1,4,26,967,355
0,3,13,637,111
0,5,24,640,296
1,1,11,112,5
0,3,25,640,5
0,4,14,640,104
0,2,10,640,216
1,1,11,696,226
1,4,16,847,38
0,4,13,640,296
0,2,11,640,104
1,4,24,847,320
1,4,34,787,307
1,3,24,60,114
1,2,20,55,185
1,4,31,156,329
1,4,24,980,131
0,4,13,640,111
1,4,16,1197,25
1,4,15,954,276
0,5,8,640,111
1,3,13,847,38
0,3,8,640,195
1,3,13,1186,114
0,3,13,640,5
0,2,9,640,111
0,3,15,640,38
1,3,24,450,130
0,3,34,640,5
1,4,24,2,289
1,3,24,1116,130
1,1,25,1066,86
1,4,13,585,259
1,2,25,1066,78
1,4,27,847,25
1,3,19,267,86
0,3,32,640,38
1,1,11,962,38
1,4,23,407,359
1,3,28,1308,252
0,4,25,640,104
0,3,13,640,111
1,4,17,112,36
1,1,23,1066,86
1,1,8,249,38
1,3,24,1028,38
0,5,9,640,306
0,2,16,640,5
0,1,23,640,296
1,4,23,988,194
0,4,23,640,86
1,3,13,878,274
0,4,13,640,296
1,2,32,517,353
1,4,24,307,330
1,3,14,249,289
0,5,8,640,318
0,5,8,640,104
1,4,23,450,289
1,3,29,504,5
0,3,13,640,167
1,1,24,847,318
1,3,34,847,187
0,2,10,640,318
0,4,13,640,16
1,3,23,1066,98
0,4,13,640,139
0,1,11,640,139
1,4,13,125,165
1,2,11,559,307
1,3,23,696,130
0,3,23,640,220
1,3,23,234,86
1,3,11,566,36
1,1,11,450,88
0,3,13,1251,211
0,2,23,640,5
0,3,24,640,216
0,3,13,640,216
1,3,24,980,318
1,3,15,665,130
1,4,23,853,38
1,4,24,450,130
0,3,18,640,86
1,3,23,712,128
1,3,25,980,31
1,2,17,1102,130
1,1,25,1365,36
1,4,23,1066,89
1,4,24,112,36
1,2,21,1158,69
1,1,13,1370,25
1,4,27,1066,130
1,3,13,112,252
0,4,32,640,139
1,3,24,1066,342
1,3,15,847,114
0,4,23,640,318
1,4,23,1345,318
1,4,17,847,5
0,4,25,640,324
1,4,13,450,5
0,5,23,640,38
0,3,13,640,5
0,3,15,632,168
0,4,23,1251,211
1,4,23,1066,320
1,3,24,559,88
0,4,17,637,63
0,2,11,632,216
0,2,11,640,104
0,3,15,640,38
0,1,13,640,38
1,4,19,1116,38
0,3,34,640,220
1,4,34,504,128
0,1,9,1251,320
1,3,23,264,5
0,1,11,640,216
1,4,27,626,318
1,1,30,450,88
1,4,30,1066,274
1,4,23,764,320
1,3,24,312,250
1,3,23,696,276
0,4,13,640,295
0,1,11,640,5
0,1,24,640,86
0,3,13,640,63
0,3,26,640,5
0,3,13,640,216
0,3,13,640,13
1,4,27,156,307
0,4,16,640,111
0,4,13,632,320
0,4,13,637,111
1,4,25,1232,289
1,3,25,1066,185
0,1,11,640,5
1,3,23,1105,359
1,3,24,450,36
0,3,13,640,41
1,3,24,196,36
1,3,28,495,276
1,2,16,450,36
0,4,27,640,66
0,3,13,640,332
1,3,14,1040,114
1,4,13,61,329
0,3,37,1251,59
1,3,30,425,353
0,1,23,640,139
0,4,14,640,111
0,3,23,922,104
1,3,24,1170,25
0,2,11,637,41
1,2,13,1066,178
0,1,9,640,139
0,4,14,640,111
1,3,31,1236,342
1,4,29,847,136
1,4,28,1212,5
0,3,32,632,5
0,4,13,640,291
0,4,30,632,104
1,4,20,1122,329
0,2,25,640,68
1,3,19,901,5
0,2,9,640,220
1,3,20,1197,36
0,2,8,640,63
1,3,21,74,227
1,3,33,307,98
1,3,23,450,309
1,3,27,450,329
1,3,24,708,88
1,1,27,960,226
0,3,23,640,220
1,4,25,847,38
1,4,23,167,250
0,2,11,640,216
0,3,24,640,320
1,5,6,477,318
1,4,23,1066,38
1,3,34,787,307
1,1,12,74,307
1,4,24,1170,329
1,4,23,616,25
1,3,23,450,274
1,1,24,847,364
1,3,23,962,329
0,3,17,363,150
1,4,13,1187,130
0,3,14,640,104
1,1,24,450,165
1,2,16,1066,5
1,3,24,1066,289
0,2,23,640,220
0,1,24,640,139
0,4,23,640,139
0,4,13,640,324
0,4,24,922,104
0,3,25,640,63
0,4,17,640,291
1,1,11,1066,320
0,2,8,637,41
1,3,13,720,38
0,3,25,640,111
0,2,11,640,104
0,3,15,640,5
1,1,24,846,166
0,4,13,640,11
0,1,9,640,5
0,3,14,640,5
1,3,24,1066,98
1,3,33,847,5
0,4,14,640,296
1,4,21,128,58
1,3,24,319,250
0,1,13,1251,140
1,3,24,626,318
1,4,29,506,274
0,4,13,640,104
1,4,23,1066,130
1,3,28,1066,86
0,5,8,640,5
1,3,15,847,88
1,3,28,1066,44
1,4,26,450,307
1,1,23,559,25
1,3,23,868,38
0,2,23,640,41
1,4,13,450,130
1,3,13,768,353
1,3,27,407,53
1,3,24,45,330
1,3,24,1066,130
1,4,24,450,88
1,3,25,450,36
1,4,23,811,318
1,4,26,407,114
1,3,24,1351,329
0,2,9,640,63
1,3,23,1313,353
1,4,24,45,5
1,4,23,450,137
0,5,8,640,296
0,1,23,640,139
0,3,16,636,63
1,3,24,847,5
1,1,13,847,5
1,4,24,1066,130
0,2,24,640,38
0,5,26,637,38
1,3,33,248,165
1,2,15,847,165
1,3,24,813,320
0,1,8,640,5
1,4,28,559,226
0,3,15,640,41
1,4,26,813,320
1,4,26,413,289
1,2,13,847,38
0,3,13,640,220
1,3,24,529,307
1,4,25,1291,41
0,2,11,640,38
1,4,24,1265,127
1,3,24,343,98
0,3,13,640,5
1,3,25,811,307
1,3,33,450,131
1,3,24,1255,38
1,2,29,1255,250
1,3,23,1066,89
1,2,29,450,131
1,2,8,847,307
0,4,26,640,104
0,2,7,945,220
0,3,13,640,111
0,1,23,640,220
1,3,24,167,307
0,3,26,640,5
1,3,32,1328,226
1,3,24,1291,318
1,1,24,695,25
1,3,13,307,130
1,1,23,1236,353
1,1,16,450,38
0,2,25,639,63
1,4,26,125,329
0,3,13,640,38
1,3,11,958,163
0,2,14,632,5
1,3,24,1066,86
1,3,23,962,318
1,2,25,450,130
1,4,23,1170,329
1,3,19,450,252
1,3,16,450,353
1,4,24,1066,289
1,4,24,1066,320
1,4,27,1235,342
1,4,27,450,130
1,3,23,1066,353
1,3,13,450,88
0,5,25,640,38
0,1,8,640,104
1,3,11,187,329
1,3,26,438,274
1,3,21,296,25
0,3,17,640,68
1,4,24,1147,178
1,3,27,246,276
0,5,6,640,104
1,3,30,737,274
1,4,11,1235,130
1,4,23,624,307
0,1,11,640,5
0,4,24,640,104
0,3,30,640,5
0,1,11,640,291
0,2,13,640,5
0,3,20,640,38
1,2,15,811,329
1,3,34,125,25
0,3,23,206,104
1,4,30,811,329
0,4,13,640,104
1,4,11,861,307
0,1,8,640,41
0,1,2,640,86
0,4,15,640,5
0,3,13,1251,205
1,4,23,1170,307
1,3,23,1066,320
1,4,25,211,318
1,1,10,846,5
1,4,26,249,38
0,4,23,640,104
1,5,16,365,274
1,3,17,697,307
1,3,21,956,36
1,4,25,962,318
1,3,24,1073,5
1,4,24,847,38
1,4,22,1116,130
0,1,10,640,104
0,3,13,640,220
0,3,13,637,168
1,4,27,1066,324
0,3,30,632,204
0,4,23,640,104
1,3,27,1373,5
0,1,23,640,139
1,2,23,1066,98
0,3,13,637,68
1,4,26,450,38
1,3,24,1127,307
0,4,24,637,296
1,3,14,1066,329
0,3,15,640,38
0,3,13,640,38
1,3,23,975,318
0,2,11,640,216
1,3,26,1364,342
1,3,24,450,36
0,4,21,637,38
1,1,32,407,48
1,1,32,249,38
1,4,27,450,289
1,3,25,58,289
0,3,14,640,5
0,1,9,640,296
1,4,25,936,36
1,2,9,438,25
1,4,15,450,131
1,3,27,1066,41
0,3,13,640,167
1,3,17,1175,31
1,3,13,450,114
1,4,24,823,25
1,1,27,450,274
1,2,23,956,88
1,3,24,847,38
1,3,27,559,289
0,5,7,640,216
0,3,29,637,5
0,3,13,640,167
1,4,13,449,289
0,4,14,640,291
1,4,26,260,5
0,3,13,640,111
0,5,23,640,111
0,2,7,640,111
1,2,24,666,329
1,4,23,962,318
0,3,13,640,5
0,4,11,640,38
0,3,13,640,220
0,2,14,640,104
1,1,13,450,5
1,3,23,559,274
1,3,20,1136,166
1,4,27,1066,130
1,3,21,450,38
0,3,27,632,167
1,3,23,329,353
0,4,24,640,111
1,4,27,847,318
1,3,24,156,354
1,3,25,1066,86
1,1,13,780,317
0,3,16,640,5
1,3,24,847,165
0,5,7,640,216
1,3,18,695,253
0,4,14,640,139
1,4,28,450,88
1,4,26,249,320
0,4,25,640,104
1,3,23,450,128
1,3,15,696,163
0,1,27,640,295
1,2,11,450,114
0,1,24,640,307
0,4,23,632,104
0,4,15,640,295
1,3,21,450,165
1,4,34,875,163
0,5,8,640,104
1,3,28,1066,98
0,4,26,640,291
1,3,28,580,88
0,3,27,640,216
0,3,15,640,104
1,4,25,112,6
1,4,24,696,252
1,2,37,559,88
0,4,23,1251,298
0,3,24,639,220
0,5,15,53,38
0,1,7,640,139
1,4,16,1066,178
0,1,23,640,41
1,3,24,696,307
0,2,11,640,5
0,4,14,640,104
1,2,11,450,90
0,2,8,640,216
1,3,21,980,28
1,4,11,1170,307
0,4,25,640,149
1,3,23,956,36
1,3,18,383,320
0,3,29,636,38
1,3,27,1197,36
0,4,25,640,5
1,4,26,450,289
0,1,11,640,318
0,4,23,640,291
1,4,24,1077,86
0,5,8,640,104
1,4,17,862,38
1,3,24,1066,330
1,3,23,1186,226
0,2,11,640,111
0,4,11,640,41
0,5,8,640,320
0,4,14,640,104
1,4,24,450,307
1,4,13,167,346
1,2,16,348,98
1,2,23,450,130
1,4,37,1049,5
1,4,24,810,307
1,3,23,547,25
1,3,13,847,38
0,4,16,640,14
1,4,26,1320,318
0,4,21,640,104
0,4,13,640,111
0,2,9,640,104
1,4,13,74,58
0,3,16,640,38
1,3,27,696,114
1,3,13,74,99
1,3,26,361,130
1,4,17,1269,274
1,4,13,847,329
1,4,13,696,114
0,1,11,640,140
0,3,25,640,5
1,4,24,1066,10
1,4,34,1365,284
1,3,30,909,38
1,3,23,847,38
0,3,13,640,38
1,4,36,847,130
0,5,24,632,38
0,4,17,640,295
0,4,24,640,139
0,5,9,640,5
1,3,24,407,51
0,4,13,1251,211
1,3,14,847,38
0,4,13,640,104
1,2,26,1244,324
1,3,23,1218,38
1,3,34,518,25
0,3,16,640,216
1,3,23,450,250
0,5,15,640,41
1,3,21,61,276
0,5,8,640,220
0,3,23,632,63
1,3,24,45,289
0,3,14,640,68
0,1,23,640,104
1,3,25,847,38
1,4,23,720,10
1,3,26,1146,178
1,3,13,450,128
0,3,13,640,111
1,4,14,847,289
1,5,2,559,5
0,3,14,640,216
0,1,24,632,291
0,4,14,640,296
1,4,25,1066,86
0,3,23,637,5
1,2,24,391,274
1,4,27,924,318
1,4,30,696,36
1,3,24,1066,86
0,3,27,1251,260
0,3,16,640,5
0,5,10,640,104
0,4,13,640,104
0,4,14,640,291
0,5,13,637,38
0,3,14,640,104
1,3,23,450,274
1,4,24,450,130
1,3,29,847,5
0,2,9,640,104
1,4,24,559,88
1,4,23,450,250
1,2,29,695,252
0,4,13,945,111
1,4,20,847,274
1,3,23,74,25
1,3,28,846,131
1,3,24,196,36
0,3,30,637,5
0,2,10,639,38
1,3,23,847,38
0,2,9,637,63
1,4,29,1066,329
1,3,23,450,318
0,3,23,640,220
0,3,14,640,5
1,4,24,182,130
1,1,15,50,185
0,2,23,632,41
0,4,13,640,63
1,4,15,1066,307
1,4,24,450,274
0,3,14,640,5
1,4,26,559,230
0,5,9,640,216
1,4,38,1039,318
1,4,15,559,88
0,2,10,640,347
1,3,14,463,289
1,2,24,383,38
1,1,28,450,353
1,3,33,1205,130
0,4,17,640,296
1,4,24,125,37
1,4,31,559,329
0,2,24,1251,260
1,4,25,616,25
1,3,24,1040,289
0,1,3,640,14
1,3,24,450,318
1,3,25,1022,330
0,4,14,640,332
0,3,23,640,104
1,4,24,797,289
1,4,25,167,289
1,4,25,1365,25
0,2,7,640,216
1,4,24,298,10
0,1,9,640,41
1,3,13,450,38
0,1,6,632,139
0,3,23,639,5
0,3,13,640,220
0,3,28,632,220
0,4,23,1251,211
1,3,26,847,307
0,1,13,640,104
1,4,17,607,250
0,4,13,640,111
1,4,24,1066,226
1,3,24,1170,289
0,1,11,640,63
1,3,24,365,98
1,3,15,1197,36
1,4,25,847,250
1,3,28,696,114
0,2,13,639,14
1,4,24,962,318
1,4,23,55,86
0,1,25,640,104
1,4,23,862,38
1,3,23,488,89
1,4,24,696,252
1,3,24,313,329
1,4,15,341,226
1,4,24,216,274
1,4,21,852,354
0,3,13,640,220
1,3,13,999,38
1,4,19,307,89
0,4,25,640,139
0,2,9,637,216
1,3,33,1033,329
1,3,24,348,318
1,3,24,27,38
0,4,15,636,104
1,3,21,463,307
1,3,25,391,130
0,2,17,640,111
1,2,23,956,36
0,1,10,640,104
1,3,29,1236,5
0,2,24,637,104
1,3,22,214,114
1,4,24,1066,86
0,3,23,640,216
1,3,23,1191,274
1,3,24,980,5
1,4,26,1066,185
1,2,24,648,86
0,4,11,640,104
0,2,8,640,216
0,3,13,640,41
0,4,32,640,332
1,3,25,450,163
0,1,15,640,347
0,2,11,640,167
0,2,13,640,104
1,2,24,1255,318
1,3,14,208,36
1,3,25,962,5
0,4,13,640,104
1,3,16,1065,318
0,4,27,640,139
1,4,26,980,263
0,4,29,640,5
0,1,31,640,38
0,1,17,640,320
0,3,23,640,5
1,3,24,1365,88
0,3,17,640,216
0,2,11,640,216
1,3,24,125,317
0,4,13,640,5
0,3,21,640,216
1,2,1,1066,320
0,1,24,640,139
1,4,26,450,130
0,3,29,640,5
0,4,29,922,104
0,4,13,640,220
1,4,13,450,289
0,2,9,640,63
1,3,26,547,25
0,5,8,640,111
1,3,13,885,318
0,2,8,640,38
1,3,24,450,307
1,4,23,1066,320
1,2,13,606,274
1,4,24,1066,10
1,4,26,125,165
1,3,25,1034,329
1,2,30,450,353
1,3,24,1146,5
1,3,29,505,276
1,3,24,1066,130
1,3,19,1092,250
0,4,23,637,38
1,3,35,998,5
0,2,9,640,318
0,3,28,637,216
0,4,14,640,111
1,4,24,44,165
1,4,27,450,250
1,3,24,450,353
1,3,23,27,86
0,4,30,640,139
1,3,25,1066,289
1,2,23,1066,329
0,1,29,632,296
1,4,13,518,353
1,1,24,979,5
0,2,24,640,63
1,3,25,450,318
0,4,15,632,38
0,4,27,640,38
1,3,21,407,165
1,4,24,450,84
0,3,26,72,5
0,1,4,640,104
1,4,23,450,289
1,3,26,125,226
1,2,17,407,99
0,5,9,640,332
1,3,25,1196,36
0,3,23,640,104
1,3,22,214,276
0,3,29,640,38
0,2,24,640,38
0,1,14,640,337
0,4,29,640,104
0,2,11,640,38
1,1,18,889,289
0,2,1,640,318
1,1,23,1066,89
1,3,24,847,5
1,3,24,1066,130
0,2,23,640,104
0,3,13,640,220
1,3,23,450,358
0,4,17,637,166
0,3,13,640,5
1,4,23,980,36
1,4,24,450,320
0,3,23,637,111
1,4,26,401,289
0,3,13,1251,59
1,1,27,1066,320
1,4,36,620,36
1,4,24,763,318
0,3,18,632,5
1,4,23,1066,98
1,2,15,952,38
1,4,24,74,88
0,1,14,640,104
1,4,20,298,318
0,2,14,640,216
0,4,25,72,41
1,3,11,865,289
1,3,25,167,307
1,1,23,1255,268
1,2,28,649,98
0,1,13,640,104
1,3,34,307,349
0,2,11,637,324
0,4,30,640,291
0,2,23,640,111
0,4,23,637,104
0,2,10,640,38
0,4,26,640,111
1,4,11,847,38
0,1,9,632,63
1,2,13,1372,318
0,2,3,640,216
0,2,17,640,104
1,1,24,1066,353
1,1,24,1066,329
1,4,28,383,98
1,2,10,235,38
1,4,36,847,248
1,3,16,307,130
0,3,14,637,5
1,1,11,1105,26
1,4,17,124,36
0,4,25,640,63
1,3,23,1066,130
0,2,23,640,104
1,4,25,1282,307
0,2,11,640,220
1,4,13,125,307
0,3,28,640,38
1,3,27,1294,130
0,4,31,640,296
1,2,24,930,318
1,4,32,1263,353
1,1,11,478,89
0,2,13,640,86
1,4,25,577,354
1,3,17,450,114
0,4,15,640,104
0,3,15,640,216
1,4,23,968,166
1,4,35,617,128
1,4,24,407,165
1,3,13,847,5
1,4,14,766,174
1,4,19,853,177
1,4,24,1065,86
1,3,17,847,364
1,4,30,730,344
1,3,19,166,307
1,3,23,529,318
0,1,2,640,104
1,5,1,61,307
1,4,23,696,36
1,3,24,1069,353
