Name,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Black
Outros,Cat,Spayed Female,0.0123287671233,Domestic Shorthair Mix,Brown Tabby/White
NA,Cat,Intact Female,0.0164383561644,Domestic Shorthair Mix,Black/White
Outros,Dog,Neutered Male,0.0246575342466,Outros,Outros
NA,Dog,Spayed Female,0.00821917808219,Labrador Retriever Mix,Black/White
Princess,Dog,Spayed Female,0.65,Outros,Brown/White
NA,Dog,Intact Female,0.0041095890411,Outros,Outros
Outros,Cat,Neutered Male,0.0287671232877,Domestic Shorthair Mix,Outros
NA,Dog,Intact Female,0.7,Chow Chow Mix,Black
NA,Cat,Spayed Female,0.1,Domestic Shorthair Mix,Black
Daisy,Dog,Spayed Female,0.1,Chow Chow Mix,Outros
Outros,Dog,Neutered Male,0.00821917808219,Outros,Black/White
Outros,Cat,Spayed Female,0.6,Domestic Shorthair Mix,Black
Outros,Cat,Spayed Female,0.05,Domestic Shorthair Mix,Black
Cookie,Cat,Spayed Female,0.05,Domestic Shorthair Mix,Black
Outros,Dog,Spayed Female,0.1,Australian Cattle Dog Mix,Black/White
Outros,Dog,Spayed Female,0.1,Pit Bull Mix,Tan/White
Outros,Dog,Neutered Male,0.041095890411,Pit Bull Mix,Outros
Riley,Dog,Neutered Male,0.3,Outros,Tan/White
Rosie,Dog,Spayed Female,0.45,Labrador Retriever Mix,Outros
Outros,Dog,Neutered Male,0.3,Siberian Husky Mix,Black/White
Outros,Dog,Spayed Female,0.1,German Shepherd Mix,Outros
Luna,Dog,Spayed Female,0.1,Outros,Outros
NA,Dog,Neutered Male,0.05,Chihuahua Shorthair Mix,Tricolor
NA,Cat,Intact Male,0.1,Domestic Shorthair Mix,Outros
Outros,Cat,Spayed Female,0.0041095890411,Domestic Shorthair Mix,Outros
Rosie,Dog,Spayed Female,0.1,Outros,Outros
Outros,Cat,Neutered Male,0.0123287671233,Domestic Shorthair Mix,Brown Tabby
NA,Dog,Spayed Female,0.05,Outros,Outros
Outros,Dog,Spayed Female,0.35,Outros,Outros
NA,Dog,Intact Male,0.0041095890411,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.1,Labrador Retriever Mix,Tan/White
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Brown Tabby/White
NA,Dog,Spayed Female,0.1,Chihuahua Shorthair Mix,Outros
Outros,Dog,Intact Male,0.6,Pit Bull Mix,White
Outros,Dog,Neutered Male,0.05,Outros,Outros
Outros,Dog,Intact Male,0.1,Miniature Poodle Mix,White
Outros,Dog,Neutered Male,0.1,Labrador Retriever Mix,White
Outros,Dog,Neutered Male,0.25,Outros,White
Outros,Dog,Spayed Female,0.0328767123288,Pit Bull Mix,Outros
NA,Cat,Unknown,0.15,Domestic Shorthair Mix,Black
NA,Dog,Neutered Male,0.2,Outros,Black/White
Outros,Dog,Neutered Male,0.4,Outros,Outros
Outros,Dog,Spayed Female,0.3,Outros,Tan/White
Outros,Cat,Neutered Male,0.0041095890411,Domestic Shorthair Mix,Outros
NA,Cat,Intact Female,0.00191780821918,Domestic Medium Hair Mix,Outros
Outros,Cat,Intact Female,0.0123287671233,Domestic Medium Hair Mix,Outros
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.0246575342466,Labrador Retriever Mix,Black
Buster,Dog,Neutered Male,0.1,Outros,Outros
Outros,Dog,Spayed Female,0.2,Chihuahua Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.35,Chihuahua Shorthair,Tan/White
NA,Dog,Neutered Male,0.0123287671233,Outros,Outros
NA,Cat,Spayed Female,0.00821917808219,Domestic Shorthair,Black
Outros,Cat,Neutered Male,0.0205479452055,Domestic Shorthair Mix,Orange Tabby
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Black/White
NA,Dog,Intact Male,0.00821917808219,Miniature Schnauzer Mix,Black/White
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Outros
Outros,Cat,Spayed Female,0.0123287671233,Domestic Medium Hair Mix,Outros
NA,Cat,Intact Female,0.00027397260274,Domestic Shorthair Mix,Outros
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Outros
Outros,Cat,Neutered Male,0.0123287671233,Domestic Shorthair Mix,Black/White
Outros,Dog,Neutered Male,0.0164383561644,Outros,Outros
NA,Cat,Intact Male,0.05,Domestic Shorthair Mix,Orange Tabby
NA,Dog,Spayed Female,0.05,Miniature Poodle Mix,White
Outros,Dog,Spayed Female,0.15,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.1,Labrador Retriever Mix,Black/White
Outros,Dog,Neutered Male,0.2,Boxer Mix,Outros
NA,Cat,Intact Male,0.00041095890411,Domestic Shorthair Mix,Brown Tabby/White
Outros,Dog,Spayed Female,0.0041095890411,Chihuahua Shorthair Mix,Tricolor
Outros,Dog,Neutered Male,0.65,Outros,Outros
Luna,Dog,Spayed Female,0.4,Outros,Outros
Outros,Dog,Intact Male,0.0246575342466,Outros,Outros
Outros,Dog,Neutered Male,0.05,Plott Hound Mix,Outros
Outros,Dog,Neutered Male,0.25,Outros,Outros
Outros,Dog,Neutered Male,0.05,Outros,Outros
Outros,Dog,Neutered Male,0.2,Australian Cattle Dog Mix,Outros
Outros,Dog,Neutered Male,0.1,American Bulldog Mix,Outros
NA,Cat,Intact Female,0.00287671232877,Domestic Shorthair Mix,Brown Tabby
Sadie,Dog,Spayed Female,0.7,Labrador Retriever Mix,Outros
Ruby,Dog,Spayed Female,0.0287671232877,Outros,Tricolor
NA,Dog,Neutered Male,0.0164383561644,Outros,Outros
Outros,Cat,Spayed Female,0.15,Domestic Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.2,Dachshund Mix,Outros
NA,Cat,Intact Female,0.00821917808219,Domestic Shorthair Mix,Outros
NA,Cat,Intact Male,0.25,Domestic Longhair Mix,Orange Tabby
Sophie,Cat,Spayed Female,0.05,Domestic Shorthair Mix,Brown Tabby
NA,Cat,Unknown,0.1,Domestic Shorthair Mix,Outros
Oreo,Dog,Neutered Male,0.1,Miniature Schnauzer Mix,Outros
NA,Cat,Spayed Female,0.0205479452055,Domestic Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.0205479452055,Outros,Outros
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Brown Tabby/White
Princess,Dog,Spayed Female,0.05,Chihuahua Shorthair Mix,Outros
Outros,Dog,Intact Male,0.45,Outros,Outros
NA,Dog,Neutered Male,0.1,Labrador Retriever Mix,Black/White
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
NA,Cat,Unknown,0.1,Domestic Shorthair Mix,Black/White
Outros,Dog,Intact Male,0.15,Australian Cattle Dog Mix,Tricolor
NA,Cat,Unknown,0.000684931506849,Domestic Shorthair Mix,Outros
Outros,Cat,Neutered Male,0.0328767123288,Domestic Shorthair Mix,Outros
NA,Dog,Intact Male,0.00027397260274,German Shepherd Mix,Outros
Outros,Dog,Neutered Male,0.15,Dachshund Mix,Brown/White
Outros,Dog,Spayed Female,0.15,Outros,Outros
NA,Dog,Spayed Female,0.15,Chihuahua Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.05,Jack Russell Terrier Mix,Outros
NA,Cat,Spayed Female,0.0123287671233,Siamese Mix,Outros
NA,Dog,Neutered Male,0.05,Chihuahua Shorthair Mix,Outros
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Black
Outros,Dog,Neutered Male,0.4,Outros,White
Outros,Dog,Spayed Female,0.0164383561644,Anatol Shepherd Mix,Tan/White
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.00821917808219,Outros,Outros
Outros,Cat,Neutered Male,0.05,Domestic Shorthair Mix,Black/White
NA,Cat,Intact Female,0.05,Domestic Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.1,Outros,Outros
Outros,Dog,Neutered Male,0.05,Outros,Outros
NA,Cat,Intact Female,0.0164383561644,Domestic Shorthair Mix,Outros
Rex,Dog,Neutered Male,0.1,Outros,Tricolor
Outros,Dog,Spayed Female,0.1,Pit Bull,Outros
Outros,Dog,Neutered Male,0.1,Labrador Retriever/German Shepherd,Brown/White
Outros,Dog,Intact Male,0.1,Outros,Outros
Outros,Dog,Intact Male,0.5,Outros,Outros
NA,Cat,Intact Female,0.0164383561644,Domestic Shorthair Mix,Black
Lola,Dog,Spayed Female,0.1,Outros,Outros
NA,Dog,Spayed Female,0.05,Rat Terrier Mix,Outros
Outros,Cat,Neutered Male,0.15,Domestic Shorthair Mix,Outros
NA,Cat,Unknown,0.00287671232877,Domestic Shorthair Mix,Orange Tabby
NA,Dog,Intact Female,0.65,Chihuahua Shorthair Mix,Outros
NA,Cat,Unknown,0.00287671232877,Siamese Mix,Outros
NA,Cat,Intact Female,0.00287671232877,Domestic Shorthair Mix,Brown Tabby
NA,Cat,Intact Female,0.1,Domestic Medium Hair Mix,Outros
NA,Dog,Neutered Male,0.0164383561644,Outros,Black/White
Outros,Dog,Spayed Female,0.05,Chihuahua Shorthair Mix,Outros
Outros,Cat,Spayed Female,0.0164383561644,Siamese Mix,Outros
Outros,Dog,Intact Male,0.0164383561644,Labrador Retriever Mix,Black/White
NA,Dog,Neutered Male,0.041095890411,Outros,Black
Outros,Dog,Spayed Female,0.1,Outros,Brown/White
Rosie,Dog,Spayed Female,0.00821917808219,Pit Bull Mix,Outros
NA,Cat,Neutered Male,0.0123287671233,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.05,Pit Bull Mix,Outros
Outros,Dog,Neutered Male,0.1,Outros,Outros
NA,Cat,Intact Male,0.0246575342466,Domestic Shorthair Mix,Brown Tabby
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Black/White
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Orange Tabby
Daisy,Dog,Spayed Female,0.2,Australian Shepherd Mix,Outros
NA,Dog,Unknown,0.00027397260274,Pit Bull Mix,Outros
NA,Cat,Intact Female,0.00287671232877,Domestic Shorthair Mix,Black
NA,Cat,Intact Female,0.00191780821918,Domestic Shorthair Mix,Black/White
NA,Cat,Intact Male,0.00287671232877,Domestic Shorthair Mix,Outros
Outros,Cat,Neutered Male,0.0164383561644,Domestic Shorthair Mix,Black/White
Outros,Dog,Spayed Female,0.4,Outros,Black/White
Outros,Dog,Neutered Male,0.2,Outros,White
Outros,Cat,Intact Female,0.00821917808219,Domestic Shorthair Mix,Black
NA,Dog,Neutered Male,0.05,Outros,Outros
Outros,Cat,Spayed Female,0.1,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Spayed Female,0.05,Outros,Outros
Outros,Dog,Neutered Male,0.0123287671233,Chihuahua Shorthair Mix,Outros
NA,Cat,Intact Male,0.00191780821918,Domestic Shorthair Mix,Brown Tabby
NA,Cat,Intact Female,0.1,Domestic Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.35,Rottweiler Mix,Outros
Outros,Dog,Neutered Male,0.05,Outros,Outros
Outros,Dog,Neutered Male,0.15,Rottweiler Mix,Outros
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Black/White
NA,Dog,Spayed Female,0.00821917808219,Outros,Outros
Max,Dog,Neutered Male,0.05,German Shepherd,Outros
Outros,Dog,Neutered Male,0.1,Pit Bull Mix,Black/White
Outros,Cat,Spayed Female,0.05,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.3,Outros,Tricolor
Outros,Cat,Spayed Female,0.0123287671233,Domestic Medium Hair Mix,Outros
NA,Cat,Unknown,0.00027397260274,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Neutered Male,0.75,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.4,Outros,White
Outros,Cat,Neutered Male,0.05,Domestic Shorthair Mix,Orange Tabby
Outros,Cat,Spayed Female,0.1,Domestic Shorthair Mix,Outros
NA,Dog,Intact Female,0.00191780821918,Border Collie Mix,Outros
NA,Cat,Intact Female,0.00287671232877,Siamese Mix,Outros
Outros,Dog,Neutered Male,0.2,Labrador Retriever/Pit Bull,Outros
Jack,Dog,Intact Male,0.05,Pit Bull Mix,Black/White
Outros,Dog,Spayed Female,0.1,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.15,Chihuahua Shorthair Mix,Brown/White
Outros,Dog,Neutered Male,0.45,Labrador Retriever Mix,Black/White
Outros,Dog,Spayed Female,0.041095890411,Chihuahua Shorthair Mix,Outros
Outros,Dog,Intact Male,0.1,Australian Shepherd Mix,Outros
NA,Cat,Intact Female,0.05,Domestic Medium Hair Mix,Outros
Outros,Dog,Spayed Female,0.15,Plott Hound Mix,Outros
Outros,Dog,Spayed Female,0.1,German Shepherd Mix,Outros
Outros,Dog,Neutered Male,0.2,Labrador Retriever Mix,Outros
Outros,Dog,Neutered Male,0.0328767123288,Pit Bull Mix,Outros
NA,Cat,Spayed Female,0.2,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.05,Chihuahua Shorthair Mix,White
NA,Cat,Unknown,0.00287671232877,Domestic Shorthair Mix,Brown Tabby
NA,Cat,Unknown,0.000958904109589,Domestic Shorthair Mix,Black
Cookie,Dog,Spayed Female,0.2,Pit Bull Mix,Outros
NA,Dog,Spayed Female,0.2,Chihuahua Longhair Mix,Black/White
Outros,Dog,Neutered Male,0.041095890411,Outros,Outros
Outros,Dog,Spayed Female,0.1,Outros,Brown/White
Outros,Dog,Neutered Male,0.0369863013699,Pit Bull Mix,Tan/White
Outros,Dog,Spayed Female,0.0328767123288,Outros,Black
Outros,Dog,Spayed Female,0.45,Outros,Outros
Outros,Cat,Neutered Male,0.0164383561644,Domestic Shorthair Mix,Brown Tabby
Jake,Cat,Neutered Male,0.0164383561644,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Neutered Male,0.1,Dachshund/Chihuahua Shorthair,Outros
Outros,Cat,Spayed Female,0.0123287671233,Domestic Shorthair Mix,Outros
Lucy,Dog,Spayed Female,0.1,Outros,Black
Riley,Dog,Neutered Male,0.7,Outros,Outros
Outros,Dog,Neutered Male,0.0164383561644,Outros,Outros
Outros,Dog,Intact Male,0.0205479452055,Miniature Pinscher Mix,Outros
Outros,Cat,Spayed Female,0.25,Domestic Shorthair Mix,Outros
NA,Dog,Intact Male,0.00191780821918,Anatol Shepherd Mix,Black
Outros,Dog,Spayed Female,0.5,Outros,White
NA,Cat,Unknown,0.000684931506849,Domestic Shorthair Mix,Brown Tabby/White
Outros,Dog,Spayed Female,0.0123287671233,Pit Bull Mix,Outros
Outros,Dog,Spayed Female,0.25,Beagle Mix,Outros
Outros,Cat,Spayed Female,0.1,Domestic Shorthair Mix,Outros
Outros,Cat,Spayed Female,0.0123287671233,Domestic Shorthair Mix,Outros
NA,Cat,Intact Female,0.0041095890411,Domestic Shorthair Mix,Black/White
Outros,Dog,Spayed Female,0.1,Outros,Outros
NA,Cat,Intact Male,0.0164383561644,Domestic Shorthair Mix,White
NA,Dog,Intact Male,0.05,Outros,Outros
Outros,Dog,Neutered Male,0.00821917808219,Border Collie Mix,Outros
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Outros
NA,Dog,Spayed Female,0.1,Chihuahua Shorthair Mix,Brown/White
NA,Cat,Unknown,0.000958904109589,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Neutered Male,0.05,Chihuahua Shorthair Mix,Black/White
NA,Cat,Intact Female,0.00287671232877,Domestic Shorthair Mix,Black/White
Outros,Cat,Neutered Male,0.00821917808219,Domestic Shorthair Mix,Orange Tabby
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.05,Outros,Black/White
Outros,Dog,Neutered Male,0.0328767123288,Outros,Outros
NA,Cat,Intact Male,0.00821917808219,Domestic Medium Hair Mix,Orange Tabby
Outros,Dog,Spayed Female,0.05,Pit Bull Mix,Brown/White
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Neutered Male,0.05,Jack Russell Terrier Mix,Brown/White
NA,Cat,Intact Male,0.1,Domestic Shorthair Mix,Brown Tabby
Outros,Dog,Neutered Male,0.35,German Shepherd Mix,Outros
Outros,Cat,Intact Female,0.00821917808219,Domestic Shorthair Mix,Brown Tabby/White
Outros,Cat,Spayed Female,0.1,Domestic Medium Hair Mix,Outros
NA,Cat,Unknown,0.00027397260274,Domestic Shorthair Mix,Brown Tabby
NA,Cat,Intact Male,0.00191780821918,Domestic Shorthair Mix,Black/White
Outros,Dog,Neutered Male,0.05,Pit Bull Mix,Tan/White
Outros,Cat,Intact Male,0.0041095890411,Domestic Longhair Mix,Black/White
Outros,Dog,Intact Male,0.15,German Shepherd,Outros
Outros,Dog,Neutered Male,0.3,Outros,Tricolor
Diamond,Dog,Spayed Female,0.1,Catahoula Mix,Outros
Outros,Dog,Intact Male,0.0041095890411,Chihuahua Shorthair Mix,Outros
Outros,Dog,Spayed Female,0.4,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.1,German Shepherd Mix,Outros
Outros,Dog,Spayed Female,0.0328767123288,Outros,Outros
Rex,Dog,Neutered Male,0.05,Outros,Outros
Outros,Cat,Spayed Female,0.05,Domestic Shorthair Mix,Brown Tabby/White
Outros,Dog,Neutered Male,0.1,Pit Bull Mix,Black/White
Outros,Dog,Intact Male,0.00821917808219,Outros,Black/White
NA,Cat,Intact Male,0.1,Domestic Shorthair Mix,Outros
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
NA,Cat,Spayed Female,0.0164383561644,Domestic Medium Hair Mix,Outros
Outros,Dog,Neutered Male,0.25,Outros,Outros
Outros,Cat,Spayed Female,0.05,Domestic Shorthair Mix,Outros
Jack,Dog,Neutered Male,0.0123287671233,Labrador Retriever Mix,Black
Outros,Dog,Neutered Male,0.15,Rottweiler Mix,Outros
Outros,Dog,Intact Male,0.5,Boxer Mix,Brown/White
Outros,Cat,Intact Female,0.041095890411,Domestic Shorthair Mix,Black/White
Outros,Dog,Spayed Female,0.5,Rat Terrier Mix,Outros
Lucy,Dog,Spayed Female,0.15,Chihuahua Shorthair Mix,White
NA,Cat,Spayed Female,0.4,Domestic Shorthair Mix,Brown Tabby/White
NA,Cat,Intact Female,0.05,Domestic Shorthair Mix,Outros
NA,Cat,Intact Female,0.1,Domestic Shorthair Mix,Outros
Outros,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
NA,Dog,Spayed Female,0.0246575342466,Pit Bull,Black/White
Outros,Cat,Spayed Female,0.0123287671233,Domestic Shorthair Mix,Brown Tabby/White
NA,Cat,Spayed Female,0.00821917808219,Domestic Shorthair Mix,Outros
Outros,Dog,Intact Male,0.0246575342466,Outros,Outros
NA,Cat,Intact Female,0.1,Domestic Shorthair Mix,Black
Outros,Cat,Intact Female,0.05,Domestic Shorthair Mix,Outros
NA,Cat,Intact Male,0.0041095890411,Domestic Shorthair Mix,Black/White
Outros,Dog,Neutered Male,0.1,Pit Bull Mix,Brown/White
Outros,Cat,Neutered Male,0.0164383561644,Domestic Medium Hair Mix,Black
NA,Dog,Intact Male,0.25,Outros,Outros
Outros,Dog,Neutered Male,0.45,Shih Tzu Mix,White
Outros,Dog,Intact Female,0.05,Outros,Outros
Outros,Dog,Spayed Female,0.0164383561644,Chihuahua Shorthair Mix,Outros
Outros,Dog,Neutered Male,0.05,Chihuahua Shorthair Mix,Black/White
NA,Cat,Intact Male,0.000958904109589,Domestic Shorthair Mix,Black
Outros,Dog,Neutered Male,0.1,Outros,Outros
Outros,Cat,Neutered Male,0.0041095890411,Domestic Shorthair Mix,Orange Tabby
Outros,Dog,Neutered Male,0.0205479452055,Outros,Outros
Outros,Dog,Neutered Male,0.2,Outros,Outros
Outros,Dog,Spayed Female,0.2,Golden Retriever Mix,Outros
Outros,Cat,Spayed Female,0.9,Domestic Shorthair Mix,Orange Tabby
NA,Dog,Spayed Female,0.0164383561644,Miniature Schnauzer Mix,Black/White
